user_id,payment_method,amount,is_premium,discount_amount
user_001,debit_card,708.83,true,85.06
user_002,netbanking,829.73,true,74.68
user_003,paypal,278.3,false,16.70
user_004,upi,71.22,false,5.70
user_005,credit_card,949.92,false,47.50
user_006,debit_card,991.23,true,118.95
user_007,debit_card,708.23,true,84.99
user_008,upi,467.73,true,60.80
user_009,debit_card,472.88,true,56.75
user_010,netbanking,147.3,true,13.26
user_011,paypal,48.26,true,5.31
user_012,debit_card,430.5,false,30.14
user_013,paypal,152.3,true,16.75
user_014,debit_card,726.84,true,87.22
user_015,upi,735.02,false,58.80
user_016,credit_card,760.27,false,38.01
user_017,netbanking,741.42,false,29.66
user_018,credit_card,99.13,false,4.96
user_019,paypal,497.14,true,54.69
user_020,netbanking,353.38,false,14.14
user_021,debit_card,387.91,true,46.55
user_022,credit_card,652.0,true,65.20
user_023,debit_card,151.69,false,10.62
user_024,debit_card,334.3,false,23.40
user_025,paypal,701.07,false,42.06
user_026,debit_card,167.81,false,11.75
user_027,netbanking,796.65,false,31.87
user_028,debit_card,948.03,true,113.76
user_029,netbanking,368.17,true,33.14
user_030,netbanking,967.94,false,38.72
user_031,netbanking,822.99,false,32.92
user_032,upi,809.91,false,64.79
user_033,credit_card,987.73,false,49.39
user_034,paypal,359.46,false,21.57
user_035,paypal,463.97,false,27.84
user_036,debit_card,403.21,false,28.22
user_037,debit_card,548.0,false,38.36
user_038,netbanking,166.17,false,6.65
user_039,credit_card,872.91,false,43.65
user_040,netbanking,81.26,true,7.31
user_041,debit_card,531.45,true,63.77
user_042,upi,840.5,true,109.27
user_043,debit_card,713.12,true,85.57
user_044,paypal,299.24,true,32.92
user_045,netbanking,870.52,false,34.82
user_046,credit_card,412.36,false,20.62
user_047,netbanking,717.27,false,28.69
user_048,paypal,333.97,false,20.04
user_049,paypal,759.8,true,83.58
user_050,upi,511.03,true,66.43
user_051,paypal,903.21,false,54.19
user_052,paypal,309.04,false,18.54
user_053,credit_card,328.89,false,16.44
user_054,paypal,400.33,false,24.02
user_055,debit_card,798.15,true,95.78
user_056,netbanking,563.01,true,50.67
user_057,netbanking,129.23,false,5.17
user_058,credit_card,641.48,false,32.07
user_059,debit_card,981.14,true,117.74
user_060,upi,958.81,true,124.65
user_061,debit_card,364.22,false,25.50
user_062,paypal,81.17,false,4.87
user_063,credit_card,73.59,true,7.36
user_064,netbanking,208.18,false,8.33
user_065,upi,880.25,true,114.43
user_066,upi,624.91,true,81.24
user_067,netbanking,157.65,true,14.19
user_068,netbanking,869.0,false,34.76
user_069,debit_card,618.85,false,43.32
user_070,netbanking,608.53,false,24.34
user_071,paypal,843.46,true,92.78
user_072,netbanking,785.12,true,70.66
user_073,upi,332.07,false,26.57
user_074,debit_card,681.36,true,81.76
user_075,paypal,873.72,false,52.42
user_076,debit_card,606.03,false,42.42
user_077,paypal,404.36,false,24.26
user_078,credit_card,344.4,true,34.44
user_079,upi,610.95,false,48.88
user_080,paypal,561.38,false,33.68
user_081,upi,93.97,true,12.22
user_082,credit_card,203.14,true,20.31
user_083,upi,272.0,false,21.76
user_084,paypal,362.87,true,39.92
user_085,debit_card,371.48,true,44.58
user_086,credit_card,272.73,true,27.27
user_087,netbanking,742.71,true,66.84
user_088,debit_card,658.8,true,79.06
user_089,paypal,122.35,true,13.46
user_090,netbanking,599.07,false,23.96
user_091,debit_card,484.92,true,58.19
user_092,credit_card,980.29,false,49.01
user_093,debit_card,946.24,true,113.55
user_094,debit_card,201.34,false,14.09
user_095,paypal,189.14,false,11.35
user_096,netbanking,850.6,true,76.55
user_097,netbanking,325.94,false,13.04
user_098,debit_card,466.97,false,32.69
user_099,upi,826.87,false,66.15
user_100,upi,990.9,false,79.27
